time;x;y;z
0.005;-0.257;0.053;0.719
0.006;-0.259;0.057;0.731
0.011;-0.234;0.051;0.763
0.018;-0.207;0.048;0.801
0.021;-0.204;0.065;0.827
0.026;-0.182;0.077;0.858
0.031;-0.160;0.083;0.892
0.036;-0.139;0.081;0.937
0.041;-0.119;0.082;0.981
0.046;-0.104;0.081;1.015
0.057;-0.096;0.077;1.047
0.057;-0.099;0.072;1.077
0.060;-0.114;0.066;1.100
0.065;-0.125;0.063;1.109
0.070;-0.120;0.063;1.102
0.078;-0.110;0.062;1.084
0.080;-0.108;0.060;1.061
0.087;-0.116;0.056;1.041
0.090;-0.131;0.054;1.022
0.094;-0.150;0.051;1.006
0.101;-0.168;0.048;0.986
0.104;-0.179;0.043;0.961
0.109;-0.193;0.037;0.936
0.114;-0.214;0.028;0.912
0.119;-0.234;0.021;0.896
0.124;-0.250;0.012;0.888
0.129;-0.268;0.000;0.883
0.135;-0.281;-0.012;0.876
0.139;-0.292;-0.021;0.876
0.144;-0.304;-0.028;0.884
0.148;-0.307;-0.032;0.895
0.154;-0.309;-0.034;0.905
0.158;-0.315;-0.042;0.909
0.163;-0.300;-0.036;0.923
0.175;-0.275;-0.028;0.942
0.178;-0.249;-0.020;0.965
0.185;-0.227;-0.017;0.984
0.193;-0.216;-0.013;1.004
0.194;-0.205;-0.014;1.028
0.198;-0.186;-0.007;1.055
0.214;-0.175;-0.005;1.079
0.215;-0.161;-0.000;1.092
0.215;-0.147;0.004;1.108
0.218;-0.126;0.011;1.133
0.221;-0.110;0.017;1.159
0.227;-0.099;0.022;1.176
0.231;-0.094;0.026;1.185
0.236;-0.097;0.026;1.184
0.241;-0.108;0.024;1.168
0.248;-0.124;0.023;1.142
0.270;-0.136;0.022;1.115
0.272;-0.144;0.019;1.090
0.273;-0.148;0.016;1.065
0.274;-0.150;0.013;1.040
0.275;-0.156;0.010;1.018
0.306;-0.161;0.007;1.003
0.307;-0.162;0.006;0.995
0.309;-0.159;0.008;0.992
0.311;-0.155;0.012;0.994
0.312;-0.148;0.018;1.001
0.314;-0.138;0.025;1.009
0.315;-0.128;0.034;1.016
0.316;-0.118;0.042;1.013
0.327;-0.113;0.046;1.004
0.329;-0.112;0.049;0.992
0.330;-0.109;0.050;0.974
0.331;-0.106;0.049;0.955
0.346;-0.109;0.047;0.937
0.347;-0.116;0.047;0.927
0.348;-0.118;0.045;0.927
0.349;-0.117;0.042;0.938
0.365;-0.115;0.038;0.956
0.366;-0.111;0.035;0.975
0.366;-0.107;0.032;0.991
0.371;-0.106;0.031;1.002
0.375;-0.109;0.029;1.010
0.378;-0.112;0.024;1.013
0.384;-0.117;0.021;1.011
0.405;-0.119;0.016;1.005
0.405;-0.123;0.016;0.996
0.406;-0.125;0.017;0.988
0.406;-0.129;0.018;0.985
0.408;-0.127;0.017;0.981
0.412;-0.129;0.020;0.980
0.419;-0.129;0.024;0.980
0.422;-0.124;0.034;0.974
0.427;-0.118;0.040;0.972
0.431;-0.104;0.049;0.970
0.441;-0.089;0.060;0.967
0.448;-0.073;0.070;0.962
0.470;-0.066;0.076;0.952
0.472;-0.071;0.076;0.946
0.473;-0.082;0.069;0.942
0.474;-0.083;0.069;0.936
0.475;-0.082;0.064;0.939
0.481;-0.072;0.061;0.943
0.483;-0.073;0.057;0.953
0.509;-0.078;0.054;0.962
0.517;-0.075;0.044;0.970
0.518;-0.075;0.035;0.982
0.518;-0.070;0.028;0.996
0.520;-0.064;0.022;1.004
0.520;-0.065;0.017;1.008
0.521;-0.068;0.014;1.005
0.521;-0.075;0.008;0.988
0.527;-0.088;0.005;0.965
0.529;-0.109;-0.000;0.939
0.535;-0.135;-0.005;0.910
0.539;-0.155;-0.008;0.885
0.545;-0.163;-0.009;0.867
0.549;-0.157;-0.004;0.857
0.558;-0.136;0.002;0.855
0.559;-0.108;0.007;0.860
0.564;-0.085;0.011;0.870
0.570;-0.066;0.007;0.885
0.575;-0.047;-0.000;0.906
0.579;-0.027;-0.011;0.935
0.583;-0.010;-0.024;0.964
0.594;0.003;-0.035;0.984
0.594;0.018;-0.042;1.004
