"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;-4.135418415E0;6.766990662E0;4.975725651E0;9.362248332E0
1.925000000E-3;-4.187219143E0;6.812461376E0;5.072987556E0;9.469827712E0
3.921875000E-3;-4.233025551E0;6.853296757E0;5.178093433E0;9.575950781E0
5.921875000E-3;-4.273429871E0;6.879585266E0;5.292861938E0;9.674982367E0
7.921875000E-3;-4.308088303E0;6.893069267E0;5.413701534E0;9.766380755E0
9.921875000E-3;-4.331081867E0;6.895684242E0;5.538152218E0;9.847835361E0
1.192187500E-2;-4.337268353E0;6.892992496E0;5.666462421E0;9.921392981E0
1.392187500E-2;-4.346366882E0;6.894639969E0;5.789515018E0;9.997272104E0
1.592187500E-2;-4.342316151E0;6.886384964E0;5.909856796E0;1.006004050E1
1.792187500E-2;-4.303960323E0;6.871196270E0;6.022863388E0;1.010011366E1
1.992187500E-2;-4.257819176E0;6.848249912E0;6.129961014E0;1.012936193E1
2.192187500E-2;-4.182143688E0;6.801543713E0;6.224263668E0;1.012387183E1
2.392187500E-2;-4.092811108E0;6.749283314E0;6.302994728E0;1.010107274E1
2.592187500E-2;-3.989582777E0;6.680655956E0;6.373001099E0;1.005798577E1
2.792187500E-2;-3.857681513E0;6.585692406E0;6.435020447E0;9.983112704E0
2.992187500E-2;-3.751982212E0;6.463195324E0;6.496876717E0;9.902508338E0
3.192187500E-2;-3.612467289E0;6.345075130E0;6.568435192E0;9.821111913E0
3.392187500E-2;-3.441875696E0;6.250264645E0;6.593066216E0;9.714980111E0
3.609687500E-2;-3.252925396E0;6.164906502E0;6.583460808E0;9.587989988E0
3.792187500E-2;-3.076300383E0;6.072720051E0;6.576460361E0;9.465272513E0
3.992187500E-2;-2.938499451E0;5.977469444E0;6.582100868E0;9.364238988E0
4.192187500E-2;-2.855602741E0;5.880523205E0;6.595958710E0;9.286640484E0
4.392187500E-2;-2.813503027E0;5.800096989E0;6.620964050E0;9.240892236E0
4.592187500E-2;-2.801848173E0;5.750211716E0;6.666290760E0;9.238761847E0
4.792187500E-2;-2.820723772E0;5.718254089E0;6.722554684E0;9.265400904E0
4.992187500E-2;-2.872170687E0;5.702528954E0;6.789103508E0;9.319878077E0
5.192187500E-2;-2.952270985E0;5.675244808E0;6.858305454E0;9.378734526E0
5.392187500E-2;-3.028588533E0;5.641333103E0;6.924673080E0;9.431229239E0
5.592187500E-2;-3.086403847E0;5.610179901E0;6.983369350E0;9.474568840E0
5.792187500E-2;-3.129260063E0;5.583977699E0;7.041404724E0;9.516010507E0
5.992187500E-2;-3.155864239E0;5.571096897E0;7.086396694E0;9.550582068E0
6.192187500E-2;-3.168045998E0;5.570110321E0;7.129942417E0;9.586382180E0
6.392187500E-2;-3.158287048E0;5.574745655E0;7.177874088E0;9.621561340E0
6.592187500E-2;-3.135120869E0;5.583489418E0;7.225633621E0;9.654745888E0
6.792187500E-2;-3.113151789E0;5.598103046E0;7.261690617E0;9.683110161E0
6.992187500E-2;-3.083655357E0;5.614594936E0;7.291081429E0;9.705280782E0
7.192187500E-2;-3.044016838E0;5.620340824E0;7.317752838E0;9.716160563E0
